depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.5127,1093,0,156.4,89.8,0.5167,0.2153,0.1729,0,0,0,,,,,,,,,,
0.4899,1094,0,514.8,158.0,0.4938,-0.2606,0.0864,1,1,1,7e-05,1.2911,0.6667,-0.666667,-0.237061,-0.278213,0.554271,0.047233,0.323287,-0.042186
0.3186,1095,0,611.2,289.6,0.3225,-0.2657,0.0092,1,1,1,3e-05,0.9912,0.2329,0.232864,-0.06871,-0.163781,-0.055994,-0.017947,-0.035409,-0.102121
0.0871,1096,0,554.0,116.2,0.091,-0.008,0.1984,1,1,1,5e-05,0.3703,0.9223,0.914103,-0.458119,0.384153,-0.676904,0.138438,-0.922298,0.720118
0.2012,1097,0,4.4,286.2,0.2051,0.148,0.1034,1,1,1,8e-05,0.9023,0.7366,0.218053,0.070429,0.736556,-0.144921,-0.004364,-0.118312,0.473638
0.125,1098,0,329.4,43.6,0.129,-0.0013,0.2032,1,1,1,4e-05,0.3985,0.7794,0.76405,-0.316356,0.444528,-0.648686,0.08446,-0.779429,0.617044
0.2669,1099,0,365.1,263.0,0.2709,-0.0314,0.072,1,1,1,8e-05,0.7374,0.5099,0.509925,0.022332,0.339252,-0.309767,0.044822,-0.237641,0.287279
0.2958,1100,0,137.2,168.6,0.2998,0.1314,0.1318,1,1,1,5e-05,1.0134,0.5802,-0.06229,0.185793,0.580204,-0.033822,-0.052412,-0.026734,0.266725
0.4324,1101,0,316.2,336.2,0.4363,0.0054,-0.1601,0,1,0,,,,,,,,,,
0.3439,1102,0,387.6,278.1,0.3479,-0.0671,0.003,1,1,1,4e-05,1.0468,0.1765,0.158824,0.078614,0.176487,-0.000407,0.009958,-0.000397,0.098483
0.5454,1103,0,619.2,231.0,0.5494,-0.4925,-0.0532,0,1,0,,,,,,,,,,
0.1125,1104,0,492.5,318.6,0.1164,-0.0245,0.1664,1,1,1,8e-05,0.3848,1.0883,1.088262,-0.375327,0.36971,-0.662352,0.132773,-0.804941,0.628682
0.2258,1105,0,204.8,215.2,0.2298,0.0594,0.1283,1,1,1,8e-05,0.7187,0.5474,0.39391,-0.020925,0.547419,-0.328549,0.045212,-0.283617,0.465534
0.4539,1106,0,379.1,324.4,0.4579,-0.0879,-0.1595,0,1,0,,,,,,,,,,
0.6341,1107,0,39.5,44.3,0.6381,0.4514,0.236,0,0,0,,,,,,,,,,
0.642,1108,0,45.1,303.3,0.6459,0.5954,-0.281,0,0,0,,,,,,,,,,
0.5348,1109,0,103.8,253.5,0.5388,0.3571,-0.0891,0,0,0,,,,,,,,,,
0.4993,1110,0,608.9,303.5,0.5032,-0.4681,-0.1601,0,1,0,,,,,,,,,,
0.1047,1111,0,493.0,280.1,0.1086,-0.0184,0.1787,1,1,1,9e-05,0.381,1.0316,1.031644,-0.406251,0.373894,-0.666233,0.13545,-0.849073,0.659617
0.4927,1112,0,216.2,307.9,0.4967,0.1665,-0.1631,0,1,0,,,,,,,,,,
0.4412,1113,0,609.0,302.9,0.4452,-0.4037,-0.1096,0,1,0,,,,,,,,,,
0.3103,1114,0,341.3,38.8,0.3143,-0.0143,0.2185,1,1,1,4e-05,0.7197,0.3275,0.04125,0.046203,0.31088,-0.327516,-0.009046,-0.276443,0.207556
0.6286,1115,0,615.6,16.7,0.6325,-0.4589,0.2751,0,1,0,,,,,,,,,,
0.1278,1116,0,60.0,275.6,0.1318,0.0498,0.1625,1,1,1,8e-05,0.5075,0.7013,0.643105,-0.257459,0.59746,-0.539657,0.098055,-0.528245,0.701272
0.2631,1117,0,202.4,110.3,0.267,0.0676,0.1771,1,1,1,6e-05,0.7608,0.523,0.140048,0.046499,0.522995,-0.286446,-0.002937,-0.249448,0.365464
0.5728,1118,0,549.6,65.1,0.5768,-0.3355,0.204,1,1,0,0.042,0.6991,1.3953,-1.316123,-0.499463,-0.713515,1.395284,0.055143,0.069279,-0.000622
0.5769,1119,0,240.0,25.8,0.5808,0.1135,0.2566,0,1,0,,,,,,,,,,
0.4424,1120,0,491.0,161.0,0.4463,-0.2031,0.0957,1,1,1,6e-05,1.2111,0.3198,-0.319781,-0.093245,-0.144675,0.163854,0.015426,0.127217,-0.046448
0.379,1121,0,433.4,144.0,0.3829,-0.1095,0.1308,1,1,1,5e-05,0.9118,0.1354,-0.019083,0.027933,0.076731,-0.135437,-0.00146,-0.097432,0.042061
0.472,1122,0,258.4,172.4,0.476,0.0801,0.0718,1,1,1,9e-05,1.241,0.9423,-0.942334,0.226514,0.19757,0.853361,-0.086964,0.354024,-0.016234
0.5131,1123,0,265.6,145.5,0.517,0.0758,0.0981,1,1,0,0.0124,0.6738,1.4206,-1.299346,0.195037,0.069384,1.42062,-0.087339,0.073694,-0.002036
0.3066,1124,0,187.0,124.5,0.3106,0.0957,0.1616,1,1,1,4e-05,0.9266,0.5109,-0.054616,0.142565,0.510947,-0.120644,-0.036048,-0.091775,0.264302
0.2901,1125,0,145.8,313.6,0.2941,0.1446,0.0076,1,1,1,7e-05,1.2725,0.5664,0.0011,0.273641,0.566389,0.225341,-0.061281,0.129469,0.184241
0.1842,1126,0,210.1,22.4,0.1881,0.0336,0.2131,1,1,1,5e-05,0.5267,0.5293,0.394154,-0.121081,0.529327,-0.520503,0.025251,-0.527906,0.506173
0.6328,1127,0,386.4,17.4,0.6368,-0.1039,0.2748,0,1,0,,,,,,,,,,
0.0802,1128,0,637.3,50.8,0.0842,-0.0038,0.2002,1,1,1,5e-05,0.3667,0.9293,0.885888,-0.476526,0.391795,-0.680546,0.142671,-0.929339,0.749355
0.1492,1129,0,268.7,95.7,0.1531,0.0114,0.1942,1,1,1,4e-05,0.4483,0.6625,0.662546,-0.237659,0.488164,-0.598935,0.068037,-0.653508,0.584451
0.5761,1130,0,65.9,175.6,0.5801,0.4188,0.0326,0,0,0,,,,,,,,,,
0.2881,1131,0,631.0,122.0,0.292,-0.2053,0.1664,1,1,1,7e-05,0.6283,0.4189,0.361356,0.002625,-0.043504,-0.418912,-0.033519,-0.365622,-0.07061
0.5933,1132,0,418.0,138.3,0.5972,-0.1606,0.0914,1,1,0,0.0495,0.6921,1.4023,-1.21945,-0.176718,-0.482684,1.402257,-0.02153,0.067916,-0.00322
0.4454,1133,0,507.6,212.7,0.4493,-0.2379,0.0268,1,1,1,9e-05,1.3847,0.384,-0.382847,-0.15309,-0.198409,0.383965,0.023671,0.229719,-0.039866
0.2606,1134,0,456.2,237.9,0.2645,-0.0888,0.0954,1,1,1,9e-05,0.637,0.6071,0.607132,0.006891,0.247657,-0.410189,0.018946,-0.337399,0.19967
0.2202,1135,0,346.1,106.4,0.2242,-0.0115,0.184,1,1,1,4e-05,0.544,0.5051,0.505086,-0.08117,0.412273,-0.503183,0.029197,-0.497908,0.397559
0.5545,1136,0,431.4,153.8,0.5584,-0.1715,0.0752,1,1,0,0.01768,0.6859,1.4085,-1.167893,-0.201003,-0.307102,1.408459,-0.002127,0.070252,-0.005316
0.569,1137,0,140.8,93.9,0.573,0.2673,0.1635,0,0,0,,,,,,,,,,
0.1294,1138,0,229.2,350.0,0.1333,0.0197,0.1423,1,1,1,4e-05,0.4724,0.854,0.85401,-0.28675,0.509589,-0.574789,0.127642,-0.557798,0.677374
0.372,1139,0,548.6,198.9,0.376,-0.2287,0.0764,1,1,1,8e-05,0.9909,0.1348,0.026308,-0.066264,-0.134838,-0.056348,-0.001673,-0.037282,-0.067062
0.5153,1140,0,341.4,65.7,0.5193,-0.0277,0.2028,1,1,1,7e-05,1.2606,0.9524,-0.952402,0.04269,0.012904,0.515497,-0.029944,0.353801,-0.048664
0.435,1141,0,258.3,225.5,0.439,0.0772,0.0141,1,1,1,8e-05,1.2821,0.715,-0.684888,0.249157,0.242817,0.714958,-0.085901,0.332354,-0.014626
0.3723,1142,0,555.3,333.6,0.3763,-0.2775,-0.0956,1,1,1,8e-05,1.3544,0.5694,-0.235486,-0.193427,-0.225174,0.569407,0.028204,0.260045,-0.017351
0.6495,1143,0,131.9,189.1,0.6534,0.3608,-0.0193,0,0,0,,,,,,,,,,
0.4942,1144,0,187.0,85.1,0.4981,0.1669,0.1797,1,1,0,0.02069,0.6713,1.4954,-1.495438,0.316474,0.115676,1.423149,-0.131093,0.074047,-0.002055
0.4777,1145,0,569.9,70.3,0.4817,-0.2968,0.1974,1,1,1,5e-05,1.3439,0.6778,-0.677754,-0.277792,-0.367419,0.319286,0.081338,0.270556,-0.066586
0.5809,1146,0,610.2,202.9,0.5849,-0.4976,-0.0182,0,1,0,,,,,,,,,,
0.1311,1147,0,437.9,240.4,0.1351,-0.023,0.1682,1,1,1,5e-05,0.4003,0.9939,0.993941,-0.31078,0.392093,-0.646861,0.106738,-0.748043,0.582458
0.2731,1148,0,144.8,86.4,0.277,0.1037,0.1897,1,1,1,5e-05,0.8413,0.5693,-0.020514,0.108971,0.56928,-0.205858,-0.036109,-0.166695,0.326002
0.5406,1149,0,81.8,70.1,0.5445,0.3271,0.1972,0,0,0,,,,,,,,,,
0.1519,1150,0,168.2,21.2,0.1558,0.0325,0.2095,1,1,1,8e-05,0.4754,0.6065,0.501122,-0.199658,0.544737,-0.571797,0.04603,-0.60651,0.586047
0.2489,1151,0,158.1,55.5,0.2528,0.0815,0.2059,1,1,1,5e-05,0.7363,0.5617,0.073662,0.046864,0.561715,-0.310904,-0.018434,-0.27127,0.378541
0.2971,1152,0,189.6,281.7,0.301,0.1074,0.0339,1,1,1,8e-05,1.1249,0.5177,0.081332,0.193987,0.51775,0.07772,-0.022566,0.044774,0.239193
0.252,1153,0,485.0,257.6,0.256,-0.105,0.0861,1,1,1,3e-05,0.6182,0.6738,0.673809,0.008754,0.227112,-0.429029,0.013266,-0.344884,0.173145
0.445,1154,0,159.6,347.5,0.4489,0.2398,-0.1946,0,0,0,,,,,,,,,,
0.081,1155,0,395.2,313.5,0.085,-0.0015,0.1955,1,1,1,5e-05,0.3692,0.902,0.893832,-0.474829,0.402206,-0.677981,0.145264,-0.901966,0.757095
0.5442,1156,0,357.7,22.3,0.5482,-0.0499,0.257,1,1,1,9e-05,1.2076,1.2595,-1.259523,-0.043604,-0.080997,0.789794,-0.004937,0.406864,-0.042129
0.2468,1157,0,495.3,53.7,0.2508,-0.0871,0.2067,1,1,1,5e-05,0.5165,0.5333,0.47218,-0.031933,0.232697,-0.530728,-0.008225,-0.53332,0.198002
0.3689,1158,0,174.5,177.2,0.3729,0.1406,0.1004,1,1,1,7e-05,1.2859,0.4545,-0.377988,0.302263,0.454501,0.267897,-0.101384,0.182405,0.077722
0.1664,1159,0,177.1,255.7,0.1704,0.0466,0.1422,1,1,1,4e-05,0.5759,0.61,0.610016,-0.161098,0.568932,-0.471272,0.085919,-0.432033,0.604843
0.1463,1160,0,32.2,290.8,0.1503,0.0762,0.1443,1,1,1,4e-05,0.605,0.6638,0.531755,-0.169423,0.652828,-0.442215,0.081862,-0.397639,0.663795
0.2613,1161,0,610.4,244.8,0.2652,-0.1917,0.0899,1,1,1,0.0001,0.6338,0.6071,0.607083,0.028426,0.043987,-0.413402,-0.040063,-0.329804,-0.035912
0.1645,1162,0,160.2,155.3,0.1684,0.0456,0.1765,1,1,1,5e-05,0.54,0.5933,0.525232,-0.167533,0.571274,-0.507178,0.061626,-0.499257,0.593305
0.5378,1163,0,305.4,267.9,0.5418,0.0247,-0.1191,0,1,0,,,,,,,,,,
0.4856,1164,0,182.9,299.0,0.4895,0.2137,-0.1399,0,0,0,,,,,,,,,,
0.3679,1165,0,452.1,167.9,0.3718,-0.126,0.1101,1,1,1,8e-05,0.8982,0.149,0.060056,0.020858,0.06121,-0.149028,-0.000988,-0.111304,0.034546
0.4434,1166,0,81.9,308.5,0.4474,0.337,-0.1213,0,0,0,,,,,,,,,,
0.3049,1167,0,236.5,143.1,0.3089,0.0608,0.1484,1,1,1,5e-05,0.8697,0.4591,0.060991,0.09929,0.459117,-0.177471,-0.01008,-0.144844,0.279763
0.1876,1168,0,267.6,61.8,0.1916,0.0171,0.2019,1,1,1,5e-05,0.5129,0.5476,0.482812,-0.132866,0.490436,-0.534292,0.035279,-0.547594,0.493366
0.0771,1169,0,105.1,260.3,0.0811,0.0008,0.1993,1,1,1,5e-05,0.3656,0.9129,0.862184,-0.48159,0.407658,-0.681554,0.143646,-0.912906,0.769966
0.1369,1170,0,276.5,15.5,0.1408,0.0074,0.2084,1,1,1,7e-05,0.4188,0.7217,0.662488,-0.268656,0.47542,-0.628352,0.065996,-0.721744,0.595315
0.1624,1171,0,258.3,86.2,0.1664,0.016,0.1955,1,1,1,9e-05,0.4738,0.6079,0.594,-0.19721,0.498483,-0.57345,0.056029,-0.607861,0.556686
