depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.25,5,9,608.0,198.0,0.1686,-0.0861,0.1633,1,1,1,0.0001,0.3954,1.0721,1.072112,-0.161493,0.280786,-0.651819,0.02643,-0.753515,0.326648
0.25,6,0,32.0,234.0,0.1771,0.0984,0.1465,1,1,1,9e-05,0.6898,0.6806,0.373738,-0.07564,0.680558,-0.357425,0.044498,-0.315339,0.587362
0.25,6,1,96.0,234.0,0.1885,0.0855,0.1402,1,1,1,9e-05,0.6861,0.6405,0.408545,-0.072409,0.640498,-0.361052,0.051866,-0.317174,0.565536
0.25,6,2,160.0,234.0,0.2001,0.0676,0.1338,1,1,1,9e-05,0.675,0.5916,0.454577,-0.070878,0.591594,-0.372191,0.059221,-0.32596,0.538961
0.25,6,3,224.0,234.0,0.21,0.0439,0.1283,1,1,1,0.0001,0.6528,0.5349,0.51499,-0.072134,0.534929,-0.394362,0.064998,-0.345454,0.506864
0.25,6,4,288.0,234.0,0.2159,0.0153,0.1251,1,1,1,3e-05,0.6174,0.5923,0.592288,-0.077016,0.474419,-0.429806,0.066944,-0.379166,0.469123
0.25,6,5,352.0,234.0,0.2159,-0.0153,0.1251,1,1,1,4e-05,0.5711,0.6849,0.684946,-0.084589,0.416346,-0.476149,0.062982,-0.427429,0.426789
0.25,6,6,416.0,234.0,0.21,-0.0439,0.1283,1,1,1,6e-05,0.5203,0.7878,0.78775,-0.093805,0.366136,-0.526903,0.05321,-0.487544,0.383184
0.25,6,7,480.0,234.0,0.2001,-0.0676,0.1338,1,1,1,9e-05,0.4731,0.8925,0.892456,-0.103461,0.325924,-0.574115,0.039952,-0.554328,0.342431
0.25,6,8,544.0,234.0,0.1885,-0.0855,0.1402,1,1,1,5e-05,0.4347,0.992,0.991972,-0.112962,0.29475,-0.612539,0.026262,-0.623008,0.307534
0.25,6,9,608.0,234.0,0.1771,-0.0984,0.1465,1,1,1,7e-05,0.4069,1.0808,1.08078,-0.121509,0.270641,-0.640325,0.014143,-0.689391,0.279277
0.25,7,0,32.0,270.0,0.1849,0.1109,0.1266,1,1,1,8e-05,0.7522,0.6939,0.353501,-0.038514,0.693909,-0.294988,0.040288,-0.248607,0.564146
0.25,7,1,96.0,270.0,0.1982,0.0973,0.1172,1,1,1,8e-05,0.7541,0.6496,0.386623,-0.03224,0.649594,-0.293112,0.048879,-0.243965,0.539287
0.25,7,2,160.0,270.0,0.2119,0.0775,0.1076,1,1,1,8e-05,0.7471,0.5948,0.430747,-0.028319,0.594827,-0.300097,0.05794,-0.246527,0.509735
0.25,7,3,224.0,270.0,0.2237,0.0507,0.0994,1,1,1,8e-05,0.7261,0.5312,0.489444,-0.02841,0.531158,-0.321054,0.065684,-0.260863,0.474979
0.25,7,4,288.0,270.0,0.2308,0.0177,0.0944,1,1,1,9e-05,0.6876,0.5658,0.565826,-0.033244,0.46384,-0.359568,0.069152,-0.291124,0.434736
0.25,7,5,352.0,270.0,0.2308,-0.0177,0.0944,1,1,1,3e-05,0.6331,0.6602,0.660234,-0.041896,0.400782,-0.414108,0.065477,-0.338777,0.389819
0.25,7,6,416.0,270.0,0.2237,-0.0507,0.0994,1,1,1,4e-05,0.5709,0.7669,0.766924,-0.051956,0.34863,-0.476267,0.054014,-0.400509,0.342994
