depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.35,3,5,0.3101,-0.023,0.1606,5e-05,0.3102,-0.023,0.1606,0.0001,0.0,1,0.0,1,148,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,3,6,0.303,-0.0669,0.1618,6e-05,0.3031,-0.0669,0.1618,0.0001,0.0,1,0.0,0,0,right_shoulder_yaw_link|torso_link
0.35,3,7,0.2907,-0.1054,0.1639,8e-05,0.2908,-0.1054,0.1639,0.0001,0.0,0,0.0,0,0,
0.35,3,8,0.2757,-0.137,0.1665,3e-05,0.2757,-0.137,0.1665,0.0,0.0,0,0.0,0,0,
0.35,3,9,0.26,-0.1621,0.1692,4e-05,0.2601,-0.1621,0.1692,0.0001,0.0,0,0.0,0,0,
0.35,4,0,0.2661,0.174,0.1464,6e-05,0.2753,0.1442,0.1059,0.0511,0.20218,1,0.00556,1,406,left_hand_base_link|right_hand_Link1_2;left_hand_base_link|right_hand_Link1_3;left_hand_base_link|right_hand_Link2_2;left_hand_base_link|right_hand_Link2_3;left_wrist_yaw_link|right_hand_Link2_2;right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,4,1,0.2838,0.1483,0.1413,5e-05,0.2824,0.1296,0.1137,0.0333,0.17725,1,0.00024,1,358,left_hand_base_link|right_hand_Link2_2;left_hand_base_link|right_hand_Link2_3;right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,4,2,0.3012,0.1149,0.1363,5e-05,0.3032,0.0951,0.102,0.0396,0.15265,1,0.0,1,288,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,4,3,0.3157,0.0735,0.1321,5e-05,0.315,0.0618,0.1106,0.0244,0.1015,1,0.0,1,270,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,4,4,0.3241,0.0254,0.1297,5e-05,0.323,0.0205,0.1202,0.0108,0.05496,1,0.0,1,252,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,4,5,0.3241,-0.0254,0.1297,5e-05,0.3238,-0.0261,0.1279,0.002,0.01316,1,0.0,1,140,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,4,6,0.3157,-0.0735,0.1321,6e-05,0.3157,-0.0735,0.1321,0.0001,0.0,1,0.0,0,0,right_shoulder_yaw_link|torso_link
0.35,4,7,0.3012,-0.1149,0.1363,7e-05,0.3013,-0.1149,0.1363,0.0001,0.0,0,0.0,0,0,
0.35,4,8,0.2838,-0.1483,0.1413,9e-05,0.2839,-0.1483,0.1413,0.0001,0.0,0,0.0,0,0,
