depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.2,8,7,0.204,-0.0762,0.0931,6e-05,0.204,-0.0762,0.0931,0.0001,0.0,0,0.0,1,187,
0.2,8,8,0.204,-0.1066,0.0931,7e-05,0.204,-0.1066,0.0931,0.0001,0.0,0,0.0,1,66,
0.2,8,9,0.204,-0.1371,0.0931,8e-05,0.204,-0.1371,0.0931,0.0001,0.0,0,0.0,0,0,
0.2,9,0,0.204,0.1437,0.071,9e-05,0.2392,0.102,0.0513,0.058,0.14462,1,0.0,1,597,left_wrist_pitch_link|right_hand_Link2_2;left_wrist_pitch_link|right_hand_Link2_3;right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,9,1,0.204,0.1117,0.071,8e-05,0.2479,0.0424,0.0421,0.087,0.23236,1,0.0,1,374,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,9,2,0.204,0.0798,0.071,9e-05,0.2309,0.0297,0.0489,0.061,0.1699,1,0.0,1,480,right_wrist_roll_link|torso_link
0.2,9,3,0.204,0.0479,0.071,9e-05,0.2239,0.0088,0.0575,0.0459,0.13757,1,0.0,1,676,right_wrist_roll_link|torso_link
0.2,9,4,0.204,0.016,0.071,3e-05,0.2063,0.002,0.0617,0.0169,0.04919,1,0.0,1,1048,right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link
0.2,9,5,0.204,-0.016,0.071,4e-05,0.205,-0.0224,0.0675,0.0074,0.02285,1,0.0,1,937,right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link;right_wrist_yaw_link|torso_link
0.2,9,6,0.204,-0.0479,0.071,4e-05,0.2039,-0.0478,0.0709,0.0001,0.00089,1,3e-05,1,595,right_hand_base_link|torso_link;right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link
0.2,9,7,0.204,-0.0798,0.071,5e-05,0.204,-0.0798,0.071,0.0,0.0,0,0.0,1,318,
0.2,9,8,0.204,-0.1117,0.071,6e-05,0.204,-0.1117,0.071,0.0,0.0,0,0.0,1,61,
0.2,9,9,0.204,-0.1437,0.071,7e-05,0.204,-0.1437,0.071,0.0,0.0,0,0.0,0,0,
0.25,0,0,0.254,0.1409,0.2231,4e-05,0.2592,0.1314,0.1891,0.0357,0.12911,1,0.0,1,232,right_shoulder_yaw_link|torso_link
0.25,0,1,0.254,0.1096,0.2231,4e-05,0.2544,0.1087,0.2128,0.0103,0.0818,1,1e-05,1,178,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.25,0,2,0.254,0.0783,0.2231,5e-05,0.2532,0.0786,0.2149,0.0083,0.06329,1,0.0,1,136,right_elbow_link|torso_link
