depth,row,col,tx,ty,tz,state,final_ok
0.25,4,0,0.254,0.1627,0.1499,hits pocket,0
0.25,4,1,0.254,0.1265,0.1499,hits pocket,0
0.25,4,2,0.254,0.0904,0.1499,hits pocket,0
0.25,4,3,0.254,0.0542,0.1499,hits pocket,0
0.25,4,4,0.254,0.0181,0.1499,hits pocket,0
0.25,4,5,0.254,-0.0181,0.1499,hits pocket,0
0.25,4,6,0.254,-0.0542,0.1499,hits pocket,0
0.25,4,7,0.254,-0.0904,0.1499,reachable,1
0.25,4,8,0.254,-0.1265,0.1499,reachable,1
0.25,4,9,0.254,-0.1627,0.1499,reachable,1
0.25,5,0,0.254,0.1692,0.1279,hits pocket,0
0.25,5,1,0.254,0.1316,0.1279,hits pocket,0
0.25,5,2,0.254,0.094,0.1279,hits pocket,0
0.25,5,3,0.254,0.0564,0.1279,hits pocket,0
0.25,5,4,0.254,0.0188,0.1279,hits pocket,0
0.25,5,5,0.254,-0.0188,0.1279,hits pocket,0
0.25,5,6,0.254,-0.0564,0.1279,hits pocket,0
0.25,5,7,0.254,-0.094,0.1279,reachable,1
0.25,5,8,0.254,-0.1316,0.1279,reachable,1
0.25,5,9,0.254,-0.1692,0.1279,reachable,1
0.25,6,0,0.254,0.1763,0.1041,hits pocket,0
0.25,6,1,0.254,0.1371,0.1041,hits pocket,0
0.25,6,2,0.254,0.0979,0.1041,hits pocket,0
0.25,6,3,0.254,0.0588,0.1041,hits pocket,0
0.25,6,4,0.254,0.0196,0.1041,hits pocket,0
0.25,6,5,0.254,-0.0196,0.1041,hits pocket,0
0.25,6,6,0.254,-0.0588,0.1041,hits pocket,0
0.25,6,7,0.254,-0.0979,0.1041,reachable,1
0.25,6,8,0.254,-0.1371,0.1041,reachable,1
0.25,6,9,0.254,-0.1763,0.1041,reachable,1
0.25,7,0,0.254,0.184,0.0782,hits pocket,0
0.25,7,1,0.254,0.1431,0.0782,hits pocket,0
0.25,7,2,0.254,0.1022,0.0782,hits pocket,0
0.25,7,3,0.254,0.0613,0.0782,hits pocket,0
0.25,7,4,0.254,0.0204,0.0782,hits pocket,0
0.25,7,5,0.254,-0.0204,0.0782,hits pocket,0
0.25,7,6,0.254,-0.0613,0.0782,hits pocket,0
0.25,7,7,0.254,-0.1022,0.0782,reachable,1
0.25,7,8,0.254,-0.1431,0.0782,reachable,1
0.25,7,9,0.254,-0.184,0.0782,reachable,1
0.25,8,0,0.254,0.1924,0.0499,hits pocket,0
0.25,8,1,0.254,0.1496,0.0499,hits pocket,0
0.25,8,2,0.254,0.1069,0.0499,hits pocket,0
0.25,8,3,0.254,0.0641,0.0499,hits pocket,0
0.25,8,4,0.254,0.0214,0.0499,hits pocket,0
0.25,8,5,0.254,-0.0214,0.0499,hits pocket,0
0.25,8,6,0.254,-0.0641,0.0499,hits pocket,0
0.25,8,7,0.254,-0.1069,0.0499,reachable,1
0.25,8,8,0.254,-0.1496,0.0499,reachable,1
0.25,8,9,0.254,-0.1924,0.0499,reachable,1
0.25,9,0,0.254,0.2016,0.019,outside workspace box,0
0.25,9,1,0.254,0.1568,0.019,hits pocket,0
0.25,9,2,0.254,0.112,0.019,hits pocket,0
0.25,9,3,0.254,0.0672,0.019,hits pocket,0
0.25,9,4,0.254,0.0224,0.019,hits pocket,0
0.25,9,5,0.254,-0.0224,0.019,hits pocket,0
0.25,9,6,0.254,-0.0672,0.019,hits pocket,0
0.25,9,7,0.254,-0.112,0.019,reachable,1
0.25,9,8,0.254,-0.1568,0.019,reachable,1
0.25,9,9,0.254,-0.2016,0.019,reachable,1
0.3,0,0,0.304,0.1814,0.2297,hits pocket,0
0.3,0,1,0.304,0.1411,0.2297,hits pocket,0
0.3,0,2,0.304,0.1008,0.2297,hits pocket,0
0.3,0,3,0.304,0.0605,0.2297,hits pocket,0
0.3,0,4,0.304,0.0202,0.2297,hits pocket,0
0.3,0,5,0.304,-0.0202,0.2297,hits pocket,0
0.3,0,6,0.304,-0.0605,0.2297,model / self-contact,0
0.3,0,7,0.304,-0.1008,0.2297,reachable,1
0.3,0,8,0.304,-0.1411,0.2297,reachable,1
0.3,0,9,0.304,-0.1814,0.2297,reachable,1
0.3,1,0,0.304,0.1877,0.2086,hits pocket,0
0.3,1,1,0.304,0.146,0.2086,hits pocket,0
0.3,1,2,0.304,0.1043,0.2086,hits pocket,0
0.3,1,3,0.304,0.0626,0.2086,hits pocket,0
0.3,1,4,0.304,0.0209,0.2086,hits pocket,0
0.3,1,5,0.304,-0.0209,0.2086,hits pocket,0
0.3,1,6,0.304,-0.0626,0.2086,reachable,1
0.3,1,7,0.304,-0.1043,0.2086,reachable,1
0.3,1,8,0.304,-0.146,0.2086,reachable,1
0.3,1,9,0.304,-0.1877,0.2086,reachable,1
0.3,2,0,0.304,0.1944,0.186,hits pocket,0
0.3,2,1,0.304,0.1512,0.186,hits pocket,0
0.3,2,2,0.304,0.108,0.186,hits pocket,0
0.3,2,3,0.304,0.0648,0.186,hits pocket,0
0.3,2,4,0.304,0.0216,0.186,hits pocket,0
