depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.222,314,0,356.4,276.7,0.226,-0.0197,0.0935,1,1,1,3e-05,0.6211,0.6894,0.689363,-0.049167,0.400694,-0.426068,0.068485,-0.347921,0.396217
0.268,315,0,302.6,207.5,0.272,0.0114,0.1138,1,1,1,7e-05,0.7421,0.4177,0.380312,0.018811,0.41772,-0.305086,0.035559,-0.256778,0.342158
0.3893,316,0,143.1,41.2,0.3933,0.1593,0.2228,1,1,1,8e-05,1.2567,0.7137,-0.713685,0.331454,0.407589,0.258444,-0.140355,0.23242,0.012782
0.5694,317,0,600.0,6.8,0.5734,-0.3844,0.2794,0,1,0,,,,,,,,,,
0.6307,318,0,616.0,195.2,0.6347,-0.5528,-0.0243,0,1,0,,,,,,,,,,
0.3282,319,0,451.1,196.3,0.3322,-0.1114,0.0971,1,1,1,5e-05,0.8013,0.2657,0.265664,0.032699,0.133007,-0.245904,0.00257,-0.194192,0.08598
0.1907,320,0,298.5,245.5,0.1947,0.0088,0.1315,1,1,1,5e-05,0.5603,0.6913,0.691344,-0.126645,0.474285,-0.486901,0.079338,-0.443468,0.509765
0.4548,321,0,457.9,176.8,0.4588,-0.1723,0.0717,1,1,1,6e-05,1.3066,0.38,-0.37995,-0.066715,-0.100845,0.259405,0.008561,0.178955,-0.034865
0.2919,322,0,602.2,84.0,0.2959,-0.1825,0.1902,1,1,1,7e-05,0.6126,0.4346,0.30868,0.001974,-0.006341,-0.434555,-0.025198,-0.386979,-0.030684
0.4233,323,0,176.1,19.0,0.4272,0.1406,0.2452,1,1,1,6e-05,1.2888,0.8879,-0.887929,0.299388,0.311409,0.349699,-0.132552,0.29476,-0.02652
0.4106,324,0,402.3,359.8,0.4146,-0.1134,-0.1798,1,1,0,0.03493,0.6831,1.4113,-0.694436,0.010193,-0.223126,1.411288,-0.050692,0.063463,-0.003682
0.1469,325,0,193.7,270.7,0.1509,0.0329,0.1502,1,1,1,8e-05,0.5129,0.711,0.710967,-0.226821,0.544442,-0.534271,0.10105,-0.513692,0.642927
0.2568,326,0,231.2,305.7,0.2608,0.0616,0.0444,1,1,1,8e-05,0.9085,0.4981,0.362131,0.074253,0.498136,-0.138661,0.043589,-0.097596,0.363084
0.0965,327,0,155.5,320.6,0.1004,0.0131,0.181,1,1,1,5e-05,0.3977,0.8445,0.844468,-0.40776,0.474711,-0.649482,0.131767,-0.75497,0.746253
0.1747,328,0,548.3,113.5,0.1786,-0.0695,0.1869,1,1,1,8e-05,0.4085,0.8948,0.894758,-0.16125,0.302013,-0.63871,0.026163,-0.745048,0.352702
0.6288,329,0,312.2,174.0,0.6328,0.0141,0.018,0,1,0,,,,,,,,,,
