depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.3,9,7,0.313,-0.15,-0.0425,5e-05,0.3174,-0.1517,-0.0243,0.0188,0.07671,0,0.0,0,0,
0.3,9,8,0.313,-0.21,-0.0425,4e-05,0.3177,-0.2105,-0.0228,0.0202,0.08312,0,0.0,0,0,
0.3,9,9,0.313,-0.27,-0.0425,9e-05,0.3184,-0.2697,-0.0217,0.0215,0.08837,0,0.0,0,0,
0.4,0,4,0.5244,0.04,0.259,9e-05,0.5244,0.04,0.259,0.0001,0.0,1,0.0,0,0,right_shoulder_roll_link|torso_link
0.4,0,5,0.5244,-0.04,0.259,7e-05,0.5244,-0.04,0.259,0.0,0.0,0,0.0,0,0,
0.4,0,6,0.5244,-0.12,0.259,6e-05,0.5244,-0.12,0.259,0.0,0.0,0,0.0,0,0,
0.4,0,7,0.5244,-0.2,0.259,9e-05,0.5244,-0.2,0.259,0.0001,0.0,0,0.0,0,0,
0.4,0,8,0.5244,-0.28,0.259,7e-05,0.5244,-0.28,0.259,0.0,0.0,0,0.0,0,0,
0.4,0,9,0.5244,-0.36,0.259,0.00096,0.5236,-0.3596,0.259,0.0009,0.0,0,0.0,0,0,
0.4,1,3,0.5096,0.12,0.2165,0.00322,0.5414,0.0403,0.2375,0.0883,0.16027,1,0.0,0,0,right_shoulder_roll_link|torso_link
0.4,1,4,0.5096,0.04,0.2165,8e-05,0.5095,0.04,0.2165,0.0001,0.0,1,0.0,0,0,right_shoulder_roll_link|torso_link
0.4,1,5,0.5096,-0.04,0.2165,7e-05,0.5095,-0.04,0.2165,0.0001,0.0,0,0.0,0,0,
0.4,1,6,0.5096,-0.12,0.2165,6e-05,0.5095,-0.12,0.2165,0.0001,0.0,0,0.0,0,0,
0.4,1,7,0.5096,-0.2,0.2165,7e-05,0.5095,-0.2,0.2165,0.0001,0.0,0,0.0,0,0,
0.4,1,8,0.5096,-0.28,0.2165,7e-05,0.5095,-0.28,0.2165,0.0001,0.0,0,0.0,0,0,
0.4,1,9,0.5096,-0.36,0.2165,9e-05,0.5095,-0.36,0.2165,0.0001,0.0,0,0.0,0,0,
0.4,2,2,0.4947,0.2,0.174,0.0372,0.5409,0.0304,0.1903,0.1765,0.30015,1,0.0,0,0,right_shoulder_roll_link|torso_link
0.4,2,3,0.4947,0.12,0.174,0.0001,0.5229,0.0622,0.1828,0.0649,0.12023,1,0.0,0,0,right_shoulder_roll_link|torso_link
