depth,row,col,tx,ty,tz,state,final_ok
0.4,6,4,0.4352,0.04,0.0041,hits pocket,0
0.4,6,5,0.4352,-0.04,0.0041,hits pocket,0
0.4,6,6,0.4352,-0.12,0.0041,reachable,1
0.4,6,7,0.4352,-0.2,0.0041,reachable,1
0.4,6,8,0.4352,-0.28,0.0041,reachable,1
0.4,6,9,0.4352,-0.36,0.0041,reachable,1
0.4,7,0,0.4204,0.36,-0.0383,outside workspace box,0
0.4,7,1,0.4204,0.28,-0.0383,outside workspace box,0
0.4,7,2,0.4204,0.2,-0.0383,IK fails,0
0.4,7,3,0.4204,0.12,-0.0383,model / self-contact,0
0.4,7,4,0.4204,0.04,-0.0383,hits pocket,0
0.4,7,5,0.4204,-0.04,-0.0383,hits pocket,0
0.4,7,6,0.4204,-0.12,-0.0383,reachable,1
0.4,7,7,0.4204,-0.2,-0.0383,reachable,1
0.4,7,8,0.4204,-0.28,-0.0383,reachable,1
0.4,7,9,0.4204,-0.36,-0.0383,reachable,1
0.4,8,0,0.4055,0.36,-0.0808,outside workspace box,0
0.4,8,1,0.4055,0.28,-0.0808,outside workspace box,0
0.4,8,2,0.4055,0.2,-0.0808,IK fails,0
0.4,8,3,0.4055,0.12,-0.0808,model / self-contact,0
0.4,8,4,0.4055,0.04,-0.0808,hits pocket,0
0.4,8,5,0.4055,-0.04,-0.0808,hits pocket,0
0.4,8,6,0.4055,-0.12,-0.0808,model / self-contact,0
0.4,8,7,0.4055,-0.2,-0.0808,model / self-contact,0
0.4,8,8,0.4055,-0.28,-0.0808,model / self-contact,0
0.4,8,9,0.4055,-0.36,-0.0808,model / self-contact,0
0.4,9,0,0.3906,0.36,-0.1233,outside workspace box,0
0.4,9,1,0.3906,0.28,-0.1233,outside workspace box,0
0.4,9,2,0.3906,0.2,-0.1233,IK fails,0
0.4,9,3,0.3906,0.12,-0.1233,model / self-contact,0
0.4,9,4,0.3906,0.04,-0.1233,hits pocket,0
0.4,9,5,0.3906,-0.04,-0.1233,hits pocket,0
0.4,9,6,0.3906,-0.12,-0.1233,model / self-contact,0
0.4,9,7,0.3906,-0.2,-0.1233,model / self-contact,0
0.4,9,8,0.3906,-0.28,-0.1233,model / self-contact,0
0.4,9,9,0.3906,-0.36,-0.1233,model / self-contact,0
0.5,0,0,0.6355,0.45,0.2737,outside workspace box,0
0.5,0,1,0.6355,0.35,0.2737,outside workspace box,0
0.5,0,2,0.6355,0.25,0.2737,outside workspace box,0
0.5,0,3,0.6355,0.15,0.2737,IK fails,0
0.5,0,4,0.6355,0.05,0.2737,IK fails,0
0.5,0,5,0.6355,-0.05,0.2737,IK fails,0
0.5,0,6,0.6355,-0.15,0.2737,IK fails,0
0.5,0,7,0.6355,-0.25,0.2737,IK fails,0
0.5,0,8,0.6355,-0.35,0.2737,IK fails,0
0.5,0,9,0.6355,-0.45,0.2737,IK fails,0
0.5,1,0,0.617,0.45,0.2206,outside workspace box,0
0.5,1,1,0.617,0.35,0.2206,outside workspace box,0
0.5,1,2,0.617,0.25,0.2206,outside workspace box,0
0.5,1,3,0.617,0.15,0.2206,IK fails,0
0.5,1,4,0.617,0.05,0.2206,IK fails,0
0.5,1,5,0.617,-0.05,0.2206,IK fails,0
0.5,1,6,0.617,-0.15,0.2206,model / self-contact,0
0.5,1,7,0.617,-0.25,0.2206,IK fails,0
0.5,1,8,0.617,-0.35,0.2206,IK fails,0
0.5,1,9,0.617,-0.45,0.2206,IK fails,0
0.5,2,0,0.5984,0.45,0.1676,outside workspace box,0
0.5,2,1,0.5984,0.35,0.1676,outside workspace box,0
0.5,2,2,0.5984,0.25,0.1676,outside workspace box,0
0.5,2,3,0.5984,0.15,0.1676,IK fails,0
0.5,2,4,0.5984,0.05,0.1676,IK fails,0
0.5,2,5,0.5984,-0.05,0.1676,model / self-contact,0
0.5,2,6,0.5984,-0.15,0.1676,model / self-contact,0
0.5,2,7,0.5984,-0.25,0.1676,model / self-contact,0
0.5,2,8,0.5984,-0.35,0.1676,IK fails,0
0.5,2,9,0.5984,-0.45,0.1676,IK fails,0
0.5,3,0,0.5798,0.45,0.1145,outside workspace box,0
0.5,3,1,0.5798,0.35,0.1145,outside workspace box,0
0.5,3,2,0.5798,0.25,0.1145,outside workspace box,0
0.5,3,3,0.5798,0.15,0.1145,IK fails,0
0.5,3,4,0.5798,0.05,0.1145,IK fails,0
0.5,3,5,0.5798,-0.05,0.1145,model / self-contact,0
0.5,3,6,0.5798,-0.15,0.1145,model / self-contact,0
0.5,3,7,0.5798,-0.25,0.1145,model / self-contact,0
0.5,3,8,0.5798,-0.35,0.1145,IK fails,0
0.5,3,9,0.5798,-0.45,0.1145,IK fails,0
0.5,4,0,0.5612,0.45,0.0614,outside workspace box,0
0.5,4,1,0.5612,0.35,0.0614,outside workspace box,0
0.5,4,2,0.5612,0.25,0.0614,outside workspace box,0
0.5,4,3,0.5612,0.15,0.0614,IK fails,0
0.5,4,4,0.5612,0.05,0.0614,IK fails,0
0.5,4,5,0.5612,-0.05,0.0614,model / self-contact,0
0.5,4,6,0.5612,-0.15,0.0614,model / self-contact,0
0.5,4,7,0.5612,-0.25,0.0614,model / self-contact,0
0.5,4,8,0.5612,-0.35,0.0614,IK fails,0
0.5,4,9,0.5612,-0.45,0.0614,IK fails,0
0.5,5,0,0.5426,0.45,0.0083,outside workspace box,0
0.5,5,1,0.5426,0.35,0.0083,outside workspace box,0
0.5,5,2,0.5426,0.25,0.0083,outside workspace box,0
0.5,5,3,0.5426,0.15,0.0083,IK fails,0
0.5,5,4,0.5426,0.05,0.0083,IK fails,0
0.5,5,5,0.5426,-0.05,0.0083,model / self-contact,0
0.5,5,6,0.5426,-0.15,0.0083,model / self-contact,0
0.5,5,7,0.5426,-0.25,0.0083,model / self-contact,0
0.5,5,8,0.5426,-0.35,0.0083,IK fails,0
0.5,5,9,0.5426,-0.45,0.0083,IK fails,0
0.5,6,0,0.5241,0.45,-0.0448,outside workspace box,0
0.5,6,1,0.5241,0.35,-0.0448,outside workspace box,0
