depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.3,1,7,0.1686,-0.0412,0.2034,8e-05,0.1736,-0.0434,0.1978,0.0078,0.0321,1,0.00035,0,0,right_hand_base_link|torso_link
0.3,1,8,0.1646,-0.0552,0.2033,4e-05,0.1666,-0.0597,0.2028,0.005,0.02402,1,0.00133,0,0,right_hand_base_link|torso_link
0.3,1,9,0.1602,-0.0673,0.2031,5e-05,0.1613,-0.0701,0.203,0.0031,0.01468,1,0.00088,0,0,right_hand_base_link|torso_link
0.3,2,0,0.1689,0.0771,0.1944,3e-05,0.1972,0.0502,0.1862,0.0398,0.14065,1,0.0,1,128,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,2,1,0.1749,0.0641,0.1941,4e-05,0.1954,0.043,0.1867,0.0303,0.10977,1,0.0,1,102,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,2,2,0.1804,0.0484,0.1937,4e-05,0.1937,0.0334,0.1881,0.0208,0.07812,1,0.0,1,64,right_wrist_roll_link|torso_link
0.3,2,3,0.1848,0.0303,0.1934,5e-05,0.1908,0.0224,0.1892,0.0108,0.04304,1,0.0,1,24,right_wrist_roll_link|torso_link
0.3,2,4,0.1872,0.0103,0.1933,6e-05,0.1897,0.0067,0.1915,0.0047,0.01902,1,0.0,1,2,right_wrist_roll_link|torso_link
0.3,2,5,0.1872,-0.0103,0.1933,9e-05,0.1873,-0.0103,0.1933,0.0001,0.0,1,0.0,0,0,right_wrist_roll_link|torso_link
0.3,2,6,0.1848,-0.0303,0.1934,4e-05,0.1848,-0.0303,0.1934,0.0001,0.0,0,0.0,0,0,
0.3,2,7,0.1804,-0.0484,0.1937,6e-05,0.1805,-0.0484,0.1937,0.0001,0.0,1,0.0,0,0,right_hand_base_link|torso_link
0.3,2,8,0.1749,-0.0641,0.1941,8e-05,0.175,-0.064,0.1941,0.0001,0.0,1,0.0,0,0,right_hand_base_link|torso_link
0.3,2,9,0.1689,-0.0771,0.1944,4e-05,0.1689,-0.0771,0.1944,0.0001,0.0,1,0.0,0,0,right_hand_base_link|torso_link
0.3,3,0,0.1787,0.0888,0.1831,9e-05,0.2162,0.0517,0.1733,0.0536,0.17715,1,0.0,1,170,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,3,1,0.1869,0.0748,0.1817,0.0001,0.2154,0.0439,0.1728,0.043,0.14475,1,0.0,1,156,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,3,2,0.1947,0.0574,0.1804,3e-05,0.2132,0.0348,0.1727,0.0302,0.10457,1,0.0,1,116,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,3,3,0.201,0.0363,0.1793,4e-05,0.2113,0.0219,0.1736,0.0186,0.06744,1,0.0,1,54,right_wrist_roll_link|torso_link
0.3,3,4,0.2046,0.0125,0.1787,4e-05,0.2086,0.0058,0.1754,0.0085,0.03259,1,0.0,1,28,right_wrist_roll_link|torso_link
0.3,3,5,0.2046,-0.0125,0.1787,6e-05,0.2044,-0.0123,0.1781,0.0007,0.00411,1,6e-05,1,6,right_wrist_roll_link|torso_link
0.3,3,6,0.201,-0.0363,0.1793,8e-05,0.2011,-0.0363,0.1793,0.0001,0.0,0,0.0,0,0,
0.3,3,7,0.1947,-0.0574,0.1804,4e-05,0.1947,-0.0573,0.1804,0.0001,0.0,0,0.0,0,0,
0.3,3,8,0.1869,-0.0748,0.1817,6e-05,0.1869,-0.0748,0.1817,0.0,0.0,0,0.0,0,0,
0.3,3,9,0.1787,-0.0888,0.1831,9e-05,0.1788,-0.0888,0.1831,0.0001,0.0,0,0.0,0,0,
0.3,4,0,0.1894,0.1023,0.1685,8e-05,0.2306,0.0583,0.1527,0.0623,0.19181,1,0.0,1,248,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,4,1,0.2002,0.0874,0.1654,8e-05,0.2329,0.0489,0.1517,0.0523,0.16315,1,0.0,1,250,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,4,2,0.2109,0.068,0.1623,8e-05,0.2351,0.036,0.1518,0.0415,0.13186,1,0.0,1,238,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,4,3,0.2198,0.0436,0.1597,9e-05,0.2335,0.0225,0.1522,0.0263,0.08617,1,5e-05,1,192,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,4,4,0.2251,0.0151,0.1582,3e-05,0.2309,0.0038,0.1536,0.0135,0.04682,1,0.0,1,124,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
