depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.3,3,8,544.0,126.0,0.1869,-0.0748,0.1817,1,1,1,6e-05,0.4187,0.8779,0.877893,-0.138403,0.294558,-0.628515,0.019747,-0.712006,0.327165
0.3,3,9,608.0,126.0,0.1787,-0.0888,0.1831,1,1,1,9e-05,0.4008,0.958,0.958049,-0.139746,0.265655,-0.64639,0.010484,-0.765212,0.294731
0.3,4,0,32.0,162.0,0.1894,0.1023,0.1685,1,1,1,8e-05,0.6951,0.679,0.274818,-0.042446,0.678973,-0.352102,0.018873,-0.317755,0.544845
0.3,4,1,96.0,162.0,0.2002,0.0874,0.1654,1,1,1,8e-05,0.6838,0.6363,0.309426,-0.045905,0.636307,-0.363369,0.026936,-0.329288,0.526573
0.3,4,2,160.0,162.0,0.2109,0.068,0.1623,1,1,1,8e-05,0.6658,0.5859,0.354798,-0.051259,0.585871,-0.381393,0.034775,-0.347879,0.503885
0.3,4,3,224.0,162.0,0.2198,0.0436,0.1597,1,1,1,9e-05,0.639,0.5287,0.413742,-0.058804,0.528694,-0.408154,0.040986,-0.376048,0.475714
0.3,4,4,288.0,162.0,0.2251,0.0151,0.1582,1,1,1,3e-05,0.6028,0.4883,0.488293,-0.0684,0.467955,-0.444372,0.043726,-0.415723,0.441509
0.3,4,5,352.0,162.0,0.2251,-0.0151,0.1582,1,1,1,4e-05,0.5598,0.5768,0.576773,-0.078385,0.408736,-0.487409,0.041358,-0.466036,0.401796
0.3,4,6,416.0,162.0,0.2198,-0.0436,0.1597,1,1,1,6e-05,0.5149,0.6746,0.674561,-0.087384,0.355808,-0.532284,0.033867,-0.524133,0.359169
0.3,4,7,480.0,162.0,0.2109,-0.068,0.1623,1,1,1,8e-05,0.4738,0.7746,0.774593,-0.094316,0.311762,-0.573381,0.022809,-0.585724,0.317127
0.3,4,8,544.0,162.0,0.2002,-0.0874,0.1654,1,1,1,4e-05,0.4401,0.8708,0.870823,-0.099073,0.276661,-0.607112,0.010366,-0.647323,0.278588
0.3,4,9,608.0,162.0,0.1894,-0.1023,0.1685,1,1,1,7e-05,0.415,0.9583,0.958324,-0.101606,0.249279,-0.632192,-0.00185,-0.705938,0.244849
0.3,5,0,32.0,198.0,0.2004,0.1172,0.1501,1,1,1,7e-05,0.7638,0.6935,0.241845,0.000114,0.693478,-0.283371,0.01109,-0.246631,0.516099
0.3,5,1,96.0,198.0,0.2142,0.1015,0.1444,1,1,1,7e-05,0.7583,0.6462,0.272579,-0.000413,0.646244,-0.28894,0.020538,-0.251079,0.49489
0.3,5,2,160.0,198.0,0.2281,0.08,0.1386,1,1,1,7e-05,0.7445,0.5893,0.31412,-0.003726,0.589302,-0.302745,0.030366,-0.262966,0.469298
0.3,5,3,224.0,198.0,0.2401,0.0519,0.1337,1,1,1,8e-05,0.7187,0.524,0.370234,-0.010743,0.524009,-0.328478,0.038897,-0.28596,0.438377
0.3,5,4,288.0,198.0,0.2472,0.0181,0.1307,1,1,1,8e-05,0.6789,0.4549,0.444042,-0.02125,0.454875,-0.368293,0.043472,-0.323003,0.401335
0.3,5,5,352.0,198.0,0.2472,-0.0181,0.1307,1,1,1,0.0001,0.6271,0.5354,0.535413,-0.033323,0.388877,-0.420086,0.041542,-0.374179,0.35848
0.3,5,6,416.0,198.0,0.2401,-0.0519,0.1337,1,1,1,4e-05,0.57,0.6396,0.639595,-0.044576,0.33231,-0.477173,0.032563,-0.436145,0.312423
