depth,row,col,tx,ty,tz,state,final_ok
0.4,7,1,0.3373,0.2117,0.0198,outside workspace box,0
0.4,7,2,0.3646,0.1672,0.0008,hits pocket,0
0.4,7,3,0.3879,0.1085,-0.0156,hits pocket,0
0.4,7,4,0.4017,0.0378,-0.0253,hits pocket,0
0.4,7,5,0.4017,-0.0378,-0.0253,hits pocket,0
0.4,7,6,0.3879,-0.1085,-0.0156,model / self-contact,0
0.4,7,7,0.3646,-0.1672,0.0008,reachable,1
0.4,7,8,0.3373,-0.2117,0.0198,reachable,1
0.4,7,9,0.3103,-0.2436,0.0388,reachable,1
0.4,8,0,0.3096,0.2539,0.0019,outside workspace box,0
0.4,8,1,0.3367,0.2208,-0.0215,outside workspace box,0
0.4,8,2,0.3639,0.1744,-0.0449,model / self-contact,0
0.4,8,3,0.387,0.1132,-0.0649,model / self-contact,0
0.4,8,4,0.4007,0.0394,-0.0766,hits pocket,0
0.4,8,5,0.4007,-0.0394,-0.0766,hits pocket,0
0.4,8,6,0.387,-0.1132,-0.0649,model / self-contact,0
0.4,8,7,0.3639,-0.1744,-0.0449,model / self-contact,0
0.4,8,8,0.3367,-0.2208,-0.0215,reachable,1
0.4,8,9,0.3096,-0.2539,0.0019,reachable,1
0.4,9,0,0.3061,0.262,-0.0353,outside workspace box,0
0.4,9,1,0.3324,0.2275,-0.0627,outside workspace box,0
0.4,9,2,0.3586,0.1793,-0.0899,model / self-contact,0
0.4,9,3,0.3805,0.1161,-0.1127,model / self-contact,0
0.4,9,4,0.3934,0.0403,-0.1261,hits pocket,0
0.4,9,5,0.3934,-0.0403,-0.1261,hits pocket,0
0.4,9,6,0.3805,-0.1161,-0.1127,model / self-contact,0
0.4,9,7,0.3586,-0.1793,-0.0899,model / self-contact,0
0.4,9,8,0.3324,-0.2275,-0.0627,model / self-contact,0
0.4,9,9,0.3061,-0.262,-0.0353,model / self-contact,0
0.45,0,0,0.3087,0.1853,0.2304,hits pocket,0
0.45,0,1,0.3241,0.1538,0.2324,hits pocket,0
0.45,0,2,0.338,0.1161,0.2342,hits pocket,0
0.45,0,3,0.3489,0.0726,0.2357,hits pocket,0
0.45,0,4,0.355,0.0247,0.2365,hits pocket,0
0.45,0,5,0.355,-0.0247,0.2365,hits pocket,0
0.45,0,6,0.3489,-0.0726,0.2357,model / self-contact,0
0.45,0,7,0.338,-0.1161,0.2342,reachable,1
0.45,0,8,0.3241,-0.1538,0.2324,reachable,1
0.45,0,9,0.3087,-0.1853,0.2304,reachable,1
0.45,1,0,0.318,0.1995,0.2092,hits pocket,0
0.45,1,1,0.336,0.1668,0.2098,hits pocket,0
0.45,1,2,0.3527,0.127,0.2105,hits pocket,0
0.45,1,3,0.366,0.0799,0.211,hits pocket,0
0.45,1,4,0.3735,0.0273,0.2113,hits pocket,0
0.45,1,5,0.3735,-0.0273,0.2113,hits pocket,0
0.45,1,6,0.366,-0.0799,0.211,model / self-contact,0
0.45,1,7,0.3527,-0.127,0.2105,reachable,1
0.45,1,8,0.336,-0.1668,0.2098,reachable,1
0.45,1,9,0.318,-0.1995,0.2092,reachable,1
0.45,2,0,0.3269,0.2144,0.1845,outside workspace box,0
0.45,2,1,0.3477,0.1808,0.1832,hits pocket,0
0.45,2,2,0.3675,0.1387,0.182,hits pocket,0
0.45,2,3,0.3836,0.0879,0.181,hits pocket,0
0.45,2,4,0.3928,0.0302,0.1804,hits pocket,0
0.45,2,5,0.3928,-0.0302,0.1804,hits pocket,0
0.45,2,6,0.3836,-0.0879,0.181,model / self-contact,0
0.45,2,7,0.3675,-0.1387,0.182,reachable,1
0.45,2,8,0.3477,-0.1808,0.1832,reachable,1
0.45,2,9,0.3269,-0.2144,0.1845,reachable,1
0.45,3,0,0.3351,0.2296,0.1563,outside workspace box,0
0.45,3,1,0.3587,0.1952,0.1523,hits pocket,0
0.45,3,2,0.3817,0.1509,0.1484,hits pocket,0
0.45,3,3,0.4008,0.0963,0.1451,hits pocket,0
0.45,3,4,0.4118,0.0332,0.1432,hits pocket,0
0.45,3,5,0.4118,-0.0332,0.1432,hits pocket,0
0.45,3,6,0.4008,-0.0963,0.1451,reachable,1
0.45,3,7,0.3817,-0.1509,0.1484,reachable,1
0.45,3,8,0.3587,-0.1952,0.1523,reachable,1
0.45,3,9,0.3351,-0.2296,0.1563,reachable,1
0.45,4,0,0.3418,0.2448,0.1246,outside workspace box,0
0.45,4,1,0.3682,0.2096,0.117,outside workspace box,0
0.45,4,2,0.3942,0.1632,0.1095,hits pocket,0
0.45,4,3,0.4161,0.1048,0.1032,hits pocket,0
0.45,4,4,0.4289,0.0363,0.0995,hits pocket,0
0.45,4,5,0.4289,-0.0363,0.0995,hits pocket,0
0.45,4,6,0.4161,-0.1048,0.1032,reachable,1
0.45,4,7,0.3942,-0.1632,0.1095,reachable,1
0.45,4,8,0.3682,-0.2096,0.117,reachable,1
0.45,4,9,0.3418,-0.2448,0.1246,reachable,1
0.45,5,0,0.3466,0.2593,0.0895,outside workspace box,0
0.45,5,1,0.3752,0.2233,0.0777,outside workspace box,0
0.45,5,2,0.4037,0.1749,0.0658,model / self-contact,0
0.45,5,3,0.428,0.1128,0.0558,hits pocket,0
0.45,5,4,0.4423,0.0392,0.0499,hits pocket,0
0.45,5,5,0.4423,-0.0392,0.0499,hits pocket,0
0.45,5,6,0.428,-0.1128,0.0558,reachable,1
0.45,5,7,0.4037,-0.1749,0.0658,reachable,1
0.45,5,8,0.3752,-0.2233,0.0777,reachable,1
0.45,5,9,0.3466,-0.2593,0.0895,reachable,1
0.45,6,0,0.349,0.2726,0.0517,outside workspace box,0
0.45,6,1,0.379,0.2357,0.0351,outside workspace box,0
0.45,6,2,0.4092,0.1854,0.0185,model / self-contact,0
0.45,6,3,0.435,0.1199,0.0043,model / self-contact,0
0.45,6,4,0.4502,0.0417,-0.0041,model / self-contact,0
0.45,6,5,0.4502,-0.0417,-0.0041,hits pocket,0
0.45,6,6,0.435,-0.1199,0.0043,reachable,1
0.45,6,7,0.4092,-0.1854,0.0185,reachable,1
0.45,6,8,0.379,-0.2357,0.0351,reachable,1
0.45,6,9,0.349,-0.2726,0.0517,reachable,1
0.45,7,0,0.3485,0.284,0.012,outside workspace box,0
0.45,7,1,0.3791,0.2461,-0.0094,outside workspace box,0
0.45,7,2,0.4099,0.1938,-0.031,model / self-contact,0
0.45,7,3,0.4361,0.1255,-0.0493,model / self-contact,0
0.45,7,4,0.4515,0.0437,-0.0601,model / self-contact,0
0.45,7,5,0.4515,-0.0437,-0.0601,model / self-contact,0
0.45,7,6,0.4361,-0.1255,-0.0493,model / self-contact,0
0.45,7,7,0.4099,-0.1938,-0.031,reachable,1
0.45,7,8,0.3791,-0.2461,-0.0094,reachable,1
0.45,7,9,0.3485,-0.284,0.012,reachable,1
0.45,8,0,0.345,0.2931,-0.0286,outside workspace box,0
0.45,8,1,0.3753,0.254,-0.0547,outside workspace box,0
0.45,8,2,0.4054,0.1999,-0.0807,IK fails,0
0.45,8,3,0.4309,0.1294,-0.1027,IK fails,0
0.45,8,4,0.4459,0.045,-0.1157,model / self-contact,0
0.45,8,5,0.4459,-0.045,-0.1157,model / self-contact,0
0.45,8,6,0.4309,-0.1294,-0.1027,model / self-contact,0
0.45,8,7,0.4054,-0.1999,-0.0807,model / self-contact,0
0.45,8,8,0.3753,-0.254,-0.0547,model / self-contact,0
0.45,8,9,0.345,-0.2931,-0.0286,reachable,1
0.45,9,0,0.3387,0.2997,-0.0692,outside workspace box,0
0.45,9,1,0.3676,0.2592,-0.0993,outside workspace box,0
0.45,9,2,0.3962,0.2036,-0.129,outside workspace box,0
0.45,9,3,0.4201,0.1314,-0.1539,IK fails,0
0.45,9,4,0.434,0.0456,-0.1684,IK fails,0
0.45,9,5,0.434,-0.0456,-0.1684,model / self-contact,0
0.45,9,6,0.4201,-0.1314,-0.1539,model / self-contact,0
0.45,9,7,0.3962,-0.2036,-0.129,model / self-contact,0
0.45,9,8,0.3676,-0.2592,-0.0993,model / self-contact,0
0.45,9,9,0.3387,-0.2997,-0.0692,model / self-contact,0
0.5,0,0,0.3537,0.2217,0.2363,outside workspace box,0
0.5,0,1,0.3727,0.1844,0.2389,model / self-contact,0
0.5,0,2,0.3902,0.1396,0.2412,hits pocket,0
0.5,0,3,0.4039,0.0875,0.243,hits pocket,0
0.5,0,4,0.4116,0.0298,0.244,hits pocket,0
0.5,0,5,0.4116,-0.0298,0.244,hits pocket,0
0.5,0,6,0.4039,-0.0875,0.243,reachable,1
0.5,0,7,0.3902,-0.1396,0.2412,reachable,1
0.5,0,8,0.3727,-0.1844,0.2389,reachable,1
0.5,0,9,0.3537,-0.2217,0.2363,reachable,1
0.5,1,0,0.3629,0.2371,0.2109,outside workspace box,0
0.5,1,1,0.3849,0.1987,0.2117,model / self-contact,0
0.5,1,2,0.4055,0.1515,0.2125,model / self-contact,0
0.5,1,3,0.422,0.0955,0.2131,hits pocket,0
0.5,1,4,0.4313,0.0327,0.2135,hits pocket,0
0.5,1,5,0.4313,-0.0327,0.2135,hits pocket,0
0.5,1,6,0.422,-0.0955,0.2131,reachable,1
0.5,1,7,0.4055,-0.1515,0.2125,reachable,1
