depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.3,6,7,480.0,234.0,0.3464,-0.15,0.0531,1,1,1,4e-05,0.9051,0.2124,0.212384,0.018445,0.044437,-0.142108,-0.001592,-0.102289,0.020476
0.3,6,8,544.0,234.0,0.3464,-0.21,0.0531,1,1,1,9e-05,0.9238,0.1867,0.186658,-0.025974,-0.0716,-0.123419,-0.010722,-0.087275,-0.052395
0.3,6,9,608.0,234.0,0.3464,-0.27,0.0531,1,1,1,7e-05,0.9777,0.1933,0.130039,-0.088536,-0.193266,-0.069549,-0.010512,-0.047946,-0.105368
0.3,7,0,32.0,270.0,0.3353,0.27,0.0213,0,0,0,,,,,,,,,,
0.3,7,1,96.0,270.0,0.3353,0.21,0.0213,0,0,0,,,,,,,,,,
0.3,7,2,160.0,270.0,0.3353,0.15,0.0213,1,1,1,8e-05,1.2608,0.5056,-0.214226,0.327414,0.505591,0.346491,-0.094957,0.198239,0.09478
0.3,7,3,224.0,270.0,0.3353,0.09,0.0213,1,1,1,7e-05,1.2133,0.4363,-0.03195,0.217682,0.436313,0.166146,-0.036132,0.099879,0.159304
0.3,7,4,288.0,270.0,0.3353,0.03,0.0213,1,1,1,6e-05,1.0892,0.3505,0.101087,0.143804,0.350484,0.042027,0.000545,0.023731,0.178899
0.3,7,5,352.0,270.0,0.3353,-0.03,0.0213,1,1,1,5e-05,1.0026,0.2572,0.195251,0.094601,0.25715,-0.044633,0.015272,-0.031469,0.15527
0.3,7,6,416.0,270.0,0.3353,-0.09,0.0213,1,1,1,5e-05,0.9499,0.2492,0.249249,0.058908,0.157978,-0.097285,0.012641,-0.06513,0.098265
0.3,7,7,480.0,270.0,0.3353,-0.15,0.0213,1,1,1,4e-05,0.9326,0.2611,0.261124,0.02458,0.051854,-0.11456,0.00057,-0.075709,0.023657
0.3,7,8,544.0,270.0,0.3353,-0.21,0.0213,1,1,1,3e-05,0.9521,0.2338,0.233781,-0.020129,-0.061925,-0.095051,-0.011134,-0.062497,-0.049097
0.3,7,9,608.0,270.0,0.3353,-0.27,0.0213,1,1,1,8e-05,1.0086,0.1817,0.174641,-0.083622,-0.181685,-0.038554,-0.012971,-0.025977,-0.100938
0.3,8,0,32.0,306.0,0.3241,0.27,-0.0106,0,0,0,,,,,,,,,,
0.3,8,1,96.0,306.0,0.3241,0.21,-0.0106,0,0,0,,,,,,,,,,
0.3,8,2,160.0,306.0,0.3241,0.15,-0.0106,1,1,1,7e-05,1.245,0.5038,-0.186424,0.343245,0.503791,0.409489,-0.096168,0.219327,0.080745
0.3,8,3,224.0,306.0,0.3241,0.09,-0.0106,1,1,1,7e-05,1.2634,0.4355,0.003061,0.229277,0.435547,0.216153,-0.03498,0.124643,0.149382
0.3,8,4,288.0,306.0,0.3241,0.03,-0.0106,1,1,1,7e-05,1.1333,0.3498,0.137354,0.153068,0.349784,0.086104,0.003703,0.052303,0.172891
0.3,8,5,352.0,306.0,0.3241,-0.03,-0.0106,1,1,1,6e-05,1.0431,0.257,0.231028,0.10244,0.257005,-0.004059,0.019386,0.000329,0.152245
0.3,8,6,416.0,306.0,0.3241,-0.09,-0.0106,1,1,1,5e-05,0.9885,0.2838,0.283843,0.065546,0.159217,-0.058682,0.016508,-0.031447,0.097471
0.3,8,7,480.0,306.0,0.3241,-0.15,-0.0106,1,1,1,5e-05,0.9708,0.2943,0.294284,0.029842,0.055197,-0.076368,0.00327,-0.041932,0.024866
0.3,8,8,544.0,306.0,0.3241,-0.21,-0.0106,1,1,1,4e-05,0.9916,0.2655,0.265473,-0.016524,-0.056094,-0.055636,-0.009885,-0.030478,-0.045468
0.3,8,9,608.0,306.0,0.3241,-0.27,-0.0106,1,1,1,9e-05,1.0508,0.2048,0.204773,-0.081951,-0.17337,0.00363,-0.012754,0.002764,-0.093974
0.3,9,0,32.0,342.0,0.313,0.27,-0.0425,0,0,0,,,,,,,,,,
0.3,9,1,96.0,342.0,0.313,0.21,-0.0425,0,0,0,,,,,,,,,,
0.3,9,2,160.0,342.0,0.313,0.15,-0.0425,1,1,1,6e-05,1.223,0.4955,-0.18198,0.36523,0.494934,0.495538,-0.101415,0.245641,0.05679
